2014/04/22 09:44:46.930, A-2013-P49540, 0001, I, 030101001, G->F CALL [GetSystemSeriesDescriptionList()], , , Exam.ExamFacade
2014/04/22 09:44:46.935, A-2013-P49540, 0001, I, 020200005, Configflow : facade.GetFreeText : 46.935, , , WorkflowLibrary.Configflow
2014/04/22 09:44:46.935, A-2013-P49540, 0001, I, 030101001, G->F CALL [GetFreeText()], , , Exam.ExamFacade
2014/04/22 09:44:46.936, A-2013-P49540, 0001, I, 020200005, Configflow : facade.GetFreeText : 46.936, , , WorkflowLibrary.Configflow
2014/04/22 09:44:46.936, A-2013-P49540, 0001, I, 030101001, G->F CALL [GetFreeText()], , , Exam.ExamFacade
2014/04/22 09:44:46.937, A-2013-P49540, 0001, I, 020200005, Configflow : facade.GetSystemDefaultStorageCropSettings : 46.937, , , WorkflowLibrary.Configflow
2014/04/22 09:44:46.937, A-2013-P49540, 0001, I, 030101001, G->F CALL [GetSystemDefaultStorageCropSettings()], , , Exam.ExamFacade
2014/04/22 09:44:47.160, A-2013-P49540, 0001, I, 020200005, Configflow : facade.GetSystemCropSetting : 47.160, , , WorkflowLibrary.Configflow
2014/04/22 09:44:47.161, A-2013-P49540, 0001, I, 030101001, G->F CALL [GetSystemCropSetting()], , , Exam.ExamFacade
2014/04/22 09:44:47.269, A-2013-P49540, 0001, I, 020200005, Configflow : facade.GetDefaultFilmSettingList : 47.268, , , WorkflowLibrary.Configflow
2014/04/22 09:44:47.269, A-2013-P49540, 0001, I, 030101001, G->F CALL [GetDefaultFilmSettingList()], , , Exam.ExamFacade
2014/04/22 09:44:47.396, A-2013-P49540, 0001, I, 030101001, G->F CALL [GetGammaAdjustmentParameters()], , , Exam.ExamFacade
2014/04/22 09:44:47.397, A-2013-P49540, 0001, I, 020200005, Configflow : facade.GetGammaAdjustmentParameters : 47.397, , , WorkflowLibrary.Configflow
2014/04/22 09:44:47.398, A-2013-P49540, 0001, I, 030101001, G->F CALL [GetLayoutTemplateList()], , , Exam.ExamFacade
2014/04/22 09:44:47.536, A-2013-P49540, 0001, I, 020200005, Configflow : facade.GetLayoutTemplateList : 47.536, , , WorkflowLibrary.Configflow
2014/04/22 09:44:47.537, A-2013-P49540, 0001, I, 030101001, G->F CALL [GetStitchConfig()], , , Exam.ExamFacade
2014/04/22 09:44:47.777, A-2013-P49540, 0001, I, 020200005, Configflow : facade.GetStitchConfig : 47.777, , , WorkflowLibrary.Configflow
2014/04/22 09:44:47.779, A-2013-P49540, 0001, I, 030101001, G->F CALL [GetSupportFilmList()], , , Exam.ExamFacade
2014/04/22 09:44:47.804, A-2013-P49540, 0001, I, 020200005, Configflow : facade.GetAnnotationCaption : 47.804, , , WorkflowLibrary.Configflow
2014/04/22 09:44:47.805, A-2013-P49540, 0001, I, 030101001, G->F CALL [GetAnnotationCaption()], , , Exam.ExamFacade
2014/04/22 09:44:47.807, A-2013-P49540, 0001, I, 020200005, Configflow : facade.GetAnnotationSuffix : 47.807, , , WorkflowLibrary.Configflow
2014/04/22 09:44:47.808, A-2013-P49540, 0001, I, 030101001, G->F CALL [GetAnnotationSuffix()], , , Exam.ExamFacade
2014/04/22 09:44:47.809, A-2013-P49540, 0001, I, 020200005, Configflow : facade.GetAnnotationCaption : 47.809, , , WorkflowLibrary.Configflow
2014/04/22 09:44:47.810, A-2013-P49540, 0001, I, 030101001, G->F CALL [GetAnnotationCaption()], , , Exam.ExamFacade
2014/04/22 09:44:47.811, A-2013-P49540, 0001, I, 020200005, Configflow : facade.GetAnnotationSuffix : 47.811, , , WorkflowLibrary.Configflow
